Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,Developing,58.19375,269.0625,78.25,0.014375,34.96011007,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.0154255,9972259.813,16.58125,15.58125,0.415375,8.2125
Albania,Developing,75.15625,45.0625,0.6875,4.84875,193.2590907,98,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726679,696911.625,1.61875,1.7,0.709875,12.1375
Algeria,Developing,73.61875,108.1875,20.3125,0.406666667,236.1852407,78,1943.875,48.74375,23.5,91.75,4.604,91.875,0.1,2847.853392,21649827.44,6.09375,5.975,0.694875,12.7125
Angola,Developing,49.01875,328.5625,83.75,5.740666667,102.1002684,70.22222222,3561.3125,18.01875,132.625,46.125,3.919333333,47.6875,2.36875,1975.143045,10147099.19,6.19375,6.66875,0.458375,8.04375
Antigua and Barbuda,Developing,75.05625,127.5,0,7.949333333,1001.585226,98.26666667,0,38.425,0,96.9375,4.791333333,98.3125,0.125,9759.305728,na,3.425,3.375,0.488625,8.84375
Argentina,Developing,75.15625,106,10.125,7.966666667,773.0389813,81.28571429,2,54.98125,11.375,93.375,6.912666667,92.375,0.1,6998.575103,20121204.5,1.075,0.95,0.794125,16.50625
Armenia,Developing,73.4,117.375,1,3.702666667,131.0074188,87.5625,274.25,44.70625,1,89.125,4.861333333,87.375,0.1,1999.986318,1015164.625,2.0375,2.1125,0.698375,11.7875
Australia,Developed,81.8125,63.1875,1,10.15533333,5332.226473,93.4,103.9375,55.8625,1.375,86.75,8.836666667,86.875,0.1,34637.56505,4587009.875,0.66875,0.625,0.918125,20.0375
Austria,Developed,81.48125,65.75,0,12.236,4928.439188,81.0625,77.25,48.2875,0,86,4.715333333,86.75,0.1,33827.47631,6474879.875,1.73125,1.9375,0.862375,15.3875
Azerbaijan,Developing,70.73125,115.1875,6.0625,0.992,131.1487469,59.21428571,598.1875,43.84375,7.1875,75.8125,5.679333333,82.3125,0.1,3302.947807,2157370.5,2.9,2.94375,0.7026875,11.35
Bahamas,Developing,74.2875,152.0625,0,10.27133333,0,83.6,0,52.88125,0,95,6.706,95.75,0.11875,na,na,2.55,2.51875,0.7379375,12.425
Bahrain,Developing,75.725,65.375,0,1.934666667,602.0871396,98.125,6.6875,51.65625,0,98,3.807333333,98.0625,0.1,11191.24742,na,6.10625,5.95,0.8079375,14.1125
Bangladesh,Developing,69.3,141.375,153.625,0.01,32.32097151,77.61538462,4649.9375,12.875,201.5625,87.5,2.854666667,92.75,0.1,443.561481,42985163.88,13.775,14.33125,0.517875,8.69375
Barbados,Developing,74.35625,77.625,0,8.206666667,389.0769952,84.06666667,0,45.975,0,80.3125,6.122,89.9375,0.25625,12017.09853,na,3.95625,3.91875,0.7704375,14.89375
Belarus,Developing,69.90625,218.75,0.5625,13.49733333,329.0464553,88.9375,24.8125,54.74375,0.875,89.875,6.192,92.1875,0.1,3811.525348,6371866.813,2.2125,2.3375,0.74325,14.75
Belgium,Developed,80.68125,70.1875,0.25,11.04266667,2392.432657,74.5,81.5625,50.89375,1,97.75,5.962,97.3125,0.1,16915.306,2884042.563,0.8625,0.85625,0.87775,16.7875
Belize,Developing,69.26875,155.5,0,6.252666667,365.8434898,94.75,0,37.675,0,95.5,5.039333333,95.1875,0.43125,3933.012175,170392.875,3.55625,3.4875,0.6939375,12.45625
Benin,Developing,57.56875,269.375,25,1,43.99195642,62.57142857,1116.875,19.6125,39.25,67.6875,4.636,67.9375,1.70625,561.167968,3942978.938,8.25,8.1375,0.4380625,8.85
Bhutan,Developing,66.1625,230.25,0.6875,0.278666667,134.76407,94.125,80.25,17.58125,0.9375,89.375,5.346,93.875,0.35625,1353.986946,492584.9375,17.21875,17.925,0.183875,10.225
Bolivia (Plurinational State of),Developing,67.70625,177.5,10.75,3.212,0,82.875,7.625,44.81875,14,81.6875,5.626,87.375,0.15625,na,na,1.3,1.1875,0.63375,13.9625
Bosnia and Herzegovina,Developing,75.96875,64.9375,0,4.405333333,215.4574591,71.66666667,319.1875,48.9625,0,78.3125,8.742,78.5,0.1,2245.026024,1986993.063,2.78125,2.75625,0.450375,12.225
Botswana,Developing,56.05,448.125,2,4.67,334.2669709,87.3125,237.875,32.24375,3.125,96.1875,5.510666667,95.8125,16.525,4498.285431,1063867.375,7.4375,7.8125,0.630375,12.1375
Brazil,Developing,73.38125,150.6875,68.25,7.213333333,390.6955952,96.1875,95.375,47.0625,77.25,98.3125,8.019333333,97.9375,0.1,6143.161794,88128071.25,3.05,3.0125,0.7101875,14.1625
Brunei Darussalam,Developing,76.4875,67.0625,0,0.378666667,1276.879485,97.875,7.3125,29.71875,0,97.5,2.82,96.8125,0.1,19744.8081,na,6.2,5.675,0.839375,14.10625
Bulgaria,Developed,72.85,125.5,0.9375,10.86533333,350.745204,94.5,1530.3125,54.5,1,94.25,7.236,94,0.1,4938.981821,5290923.938,2.13125,2.15625,0.754625,13.725
Burkina Faso,Developing,55.64375,252.5,44.75,4.241333333,52.04558133,81.1,5091.75,15.5,79.9375,69,6.038,77.3125,1.8375,410.3720343,6143694.813,7.41875,6.98125,0.2296875,5.40625
Burundi,Developing,55.5375,291.5625,23.25,4.103333333,15.33549777,93.33333333,1349.5,15.3125,35.5625,86.625,7.089333333,85.75,3.0875,137.8153213,3915446.688,8.01875,8.0125,0.327875,7.48125
C̫te d'Ivoire,Developing,50.3875,417.3125,61.5,2.837333333,0,63.93333333,1708.25,21.325,86.8125,65.9375,5.723333333,68.9375,4.6875,na,na,6.7375,6.69375,na,na
Cabo Verde,Developing,72.51875,116.1875,0,3.448,188.6329874,80.64285714,0.125,24.375,0,84.375,4.755333333,79,0.53125,2023.541039,292600.25,8.0125,7.975,0.57,12.2
Cambodia,Developing,64.34375,196.375,16.75,1.486,33.79656098,79.6,1880.8125,15.3625,20.5,74.1875,5.740666667,72.0625,1.025,466.1968781,7145967.438,10.14375,10.88125,0.4919375,9.875
Cameroon,Developing,54.01875,294.875,54.9375,4.141333333,44.46229994,76.81818182,2979.25,23.61875,86.1875,72.5,4.719333333,69.4375,6.2125,781.0160044,9967291.938,6.55,6.60625,0.47,8.90625
Canada,Developing,81.6875,64.625,2,8.053333333,4694.078971,28.84615385,129.5,55.8625,2,85.3125,7.052,91.0625,0.1,29382.90752,11364053.81,0.50625,0.4375,0.8921875,15.875
Central African Republic,Developing,48.5125,333.0625,16.5,1.231333333,40.90554311,42.57142857,699.4375,17.0875,24.5,41.3125,4.039333333,42.4375,8.98125,363.0559049,2016546.125,7.10625,7.0875,0.3355,6.2375
Chad,Developing,50.3875,227.75,44.875,0.411333333,32.2773205,29.875,4687.75,16.31875,78.125,32.875,4.379333333,26.8125,4.3375,484.7916941,4114092.063,7.14375,7.04375,0.316625,6.0875
Chile,Developing,79.45,63.625,2,6.978,775.5408128,77.2,1.0625,55.5875,2.1875,83.625,6.911333333,88.8125,0.1,6202.344364,14671763.94,0.8875,0.9125,0.8013125,14.9
China,Developing,74.2625,73.75,294.875,4.182,73.5837629,80.4375,65857.9375,21.80625,350,93.6875,4.918,93.3125,0.1,2345.303158,321812.0625,4.6375,4.025,0.66025,11.4375
Colombia,Developing,73.2875,124.25,13.875,4.419333333,516.6401792,79,9.5,49.54375,16.375,84.25,6.34,79.1875,0.1,3321.660748,31767432.63,2.3,2.075,0.681875,12.23125
Comoros,Developing,61.58125,240.9375,1.6875,0.134666667,47.73145762,76.46153846,62.625,18.25625,2,67.8125,4.832,66.9375,0.28125,630.3843341,532200.6875,7.275,7.1625,0.324625,9.95625
Congo,Developing,59.04375,322.75,7.875,2.173333333,0,50.77777778,1021.625,20.925,11.6875,52.4375,2.986666667,55.25,4.9875,na,na,8.4875,8.125,0.5283125,10.0875
Cook Islands,Developing,na,na,0,0.01,0,98,0,82.8,0,98,3.58,98,0.1,na,na,0.1,0.1,na,na
Costa Rica,Developing,78.59375,69.375,1,3.924666667,972.3591499,79.3125,0.1875,46.725,1,69.9375,8.62,79.75,0.1,3957.227286,2309299.438,1.9625,1.90625,0.7369375,12.8375
Croatia,Developed,76.11875,89,0,12.448,1162.856329,96.22222222,23.6875,52.35625,0,95.5,7.370666667,95.375,0.1,9056.784719,1159772.375,1.74375,1.71875,0.7890625,13.8875
Cuba,Developing,77.975,57.5625,1,4.190666667,364.5638581,96.25,0,49.4625,1,98.6875,6.428666667,93.9375,0.1,3180.434884,na,3.44375,3.26875,0.742125,14.69375
Cyprus,Developed,79.675,54.125,0,10.26066667,932.6673899,92.625,1.9375,53.1625,0,98,6.76,98,0.1,13898.8855,390274.375,0.90625,1,0.8330625,13.51875
Czechia,Developed,76.76875,71.8125,0,13.026,0,97.28571429,22.9375,55.7125,0,98,7.05,98.125,0.1,na,na,1.99375,2.0625,na,na
Democratic People's Republic of Korea,Developing,69.19375,160.8125,9.9375,3,0,88.84615385,222.5625,25.625,12.8125,98.25,na,83.25,0.1,na,na,5.4375,5.45,na,na
Democratic Republic of the Congo,Developing,55.6875,265.375,234.5,1.424,0,51.33333333,48922.6875,15.8375,323.5,55.625,3.558666667,41.875,1.81875,na,na,8.14375,7.95625,na,na
Denmark,Developed,79.25625,66.0625,0,10.708,5313.335794,na,15.75,55.825,0,88,7.822666667,88,0.1,33067.40792,4260081.375,1.1625,0.9375,0.899875,17.19375
Djibouti,Developing,60.75625,274.6875,1.4375,0.764,98.83844812,78,113.875,26.25,1.875,74.875,7.070666667,75.125,3.28125,897.9998707,634116.1875,5.84375,5.7,0.4184375,4.75
Dominica,Developing,na,na,0,0.01,11.41955507,96,0,58.4,0,96,5.58,96,0.1,722.75665,na,2.7,2.6,0.721,12.7
Dominican Republic,Developing,72.34375,143.5,6.4375,6.030666667,360.6789971,65.125,23,48.14375,7.8125,75.625,4.681333333,83.1875,1.41875,3509.499186,4448642.688,3.46875,3.375,0.685,12.74375
Ecuador,Developing,74.725,132.125,7.375,3.807333333,109.4060512,78.0625,20.75,43.3125,8.75,78.75,5.88,89.1875,0.19375,2005.352468,8710592.063,1.38125,1.26875,0.698875,13.0125
Egypt,Developing,71.5,170.625,56.25,0.188666667,0,96.6875,1069.25,49.2625,67.625,96.6875,5.346,96.6875,0.1,na,na,3.125,3.075,0.647625,11.89375
El Salvador,Developing,71.74375,155.0625,2.5625,2.692666667,341.5691573,86.0625,0.125,45.325,2.875,82.25,7.103333333,87.1875,0.2875,2517.83463,2930826.5,1.80625,1.725,0.6504375,12.65625
Equatorial Guinea,Developing,55.3125,279.375,3,7.342,552.671538,9,294.5,17.85625,4,36.875,2.929333333,29.9375,5.1375,7902.410789,556765.3125,6.65625,6.6,0.5361875,8.325
Eritrea,Developing,60.6875,308.625,6.3125,0.608,6.436069382,86.42857143,175,15.15625,8.9375,87.8125,3.468666667,82.25,1.2125,259.3953563,2071919.333,8.08125,8.01875,0.2553125,4.925
Estonia,Developing,74.94375,169.6875,0,9.014666667,859.5750084,86.83333333,3.5,56.68125,0,94.25,5.687333333,94.125,0.1,8340.432949,791848.6875,2.075,2.1375,0.8233125,15.9375
Ethiopia,Developing,59.1125,285.5625,187.75,1.074666667,32.48210918,64.11111111,3948.375,14.8,288.5,51.125,4.901333333,46.1875,2.725,264.97095,43950760.75,8.38125,6.475,0.346125,6.8
Fiji,Developing,68.7125,125,0,1.462666667,139.1568376,98.875,50,50.5625,0,97.125,3.897333333,91.6875,0.1,2947.612689,650205.125,4.09375,3.79375,0.70225,14.18125
Finland,Developed,80.7125,68.875,0,9.552666667,2889.31547,na,2.8125,52.3,0,97.1875,8.614,98.25,0.1,25268.64976,3493082.313,0.9,0.80625,0.8729375,17.29375
France,Developed,82.21875,73.125,2.9375,12.40466667,3751.506574,51.25,2661.625,51.98125,3.4375,98.25,6.556,98.0625,0.1,26465.55138,27581733.13,0.625,0.6,0.8705625,15.9
Gabon,Developing,62.24375,220.4375,2,7.877333333,261.0777786,57.63636364,349.8125,28.81875,3,57.25,3.175333333,54.5,8,5179.256189,1007302.313,6.91875,6.775,0.654375,12.4125
Gambia,Developing,59.4625,249.625,3,2.134666667,0,95.375,41.25,20.3,5.6875,92.75,5.308666667,88.5,2.34375,na,na,7.5875,7.50625,0.4201875,8.125
Georgia,Developing,73.50625,114.9375,1.1875,5.623333333,99.52571402,77.25,1298,47.74375,1.25,81.1875,7.330666667,83.5,0.1,2158.280869,10152.375,2.75,2.89375,0.6779375,12.675
Germany,Developed,81.175,71.25,2.5,11.62866667,3900.890261,77.4375,1497.1875,51.99375,3.25,94.8125,4.073333333,89.875,0.1,24337.7491,38757347.44,1.11875,1.10625,0.8945,16.6
Ghana,Developing,60.8625,180.0625,40.3125,1.268666667,77.24912203,67.5,3419.75,21.725,59.8125,78.9375,4.328666667,73.875,2.2875,834.3761008,11534782.63,7.65,7.575,0.525875,9.5125
Greece,Developing,81.21875,73.625,0.1875,8.803333333,1759.24682,88.9375,24.875,58.68125,0.4375,91.4375,9.038666667,96.625,0.1,16454.23587,1550208.438,0.8125,0.73125,0.8423125,15.9375
Grenada,Developing,73.29375,153.75,0,8.843333333,363.8412298,95.46666667,0,40.2125,0,95.125,6.188666667,95.625,0.1,6259.517261,na,3.91875,3.93125,0.2331875,15.20625
Guatemala,Developing,71.73125,131.1875,13.125,2.268666667,334.027048,87.09090909,0,40.44375,16.125,71.4375,6.594,85.5625,0.375,2365.834474,5933907.5,1.3375,1.3375,0.5844375,9.8625
Guinea,Developing,56.0125,259.875,30.8125,0.164666667,15.89128295,58.66666667,1522,17.46875,48.375,52.4375,4.009333333,47.875,2.19375,279.4647979,4252798.938,7.64375,7.625,0.36475,7.175
Guinea-Bissau,Developing,55.36875,158.3125,4.5625,2.26,21.96164466,75,331.3125,19.43125,7.3125,74.75,5.870666667,65.25,4.81875,384.2149305,981883.1875,7.5,7.38125,0.2541875,8.2875
Guyana,Developing,65.6375,203.9375,0.5625,7.406,187.765018,88.2,0,36.38125,1,87.75,6.084,88.1875,1.0625,1783.880937,494437.25,5.68125,5.46875,0.6198125,10.7875
Haiti,Developing,59.86875,168.3125,17,5.486,36.12920018,40.66666667,71.9375,39.275,24.8125,53.8125,6.183333333,48,2.7375,434.3601282,3852657.688,4.24375,4.25625,0.4620625,8.45
Honduras,Developing,72.99375,142,4.625,3.042,192.1156353,95.0625,0,39.74375,5.6875,95.375,8.147333333,95.625,0.81875,1421.788083,2832386.563,2.4,2.3375,0.590125,10.8875
Hungary,Developed,73.825,147.0625,0.5625,11.42733333,376.8310803,na,2.0625,56.93125,0.875,98.9375,7.768666667,99,0.1,8513.641831,1604902.25,1.91875,1.9125,0.8043125,15.11875
Iceland,Developed,82.44375,49.375,0,7.466,4991.595308,na,0,51.075,0,89.75,8.546,89.75,0.1,30159.50291,186177.625,0.95625,0.9,0.8853125,18.15625
India,Developing,65.41875,146.5625,1366.6875,1.942,33.24262109,35,46454.1875,14.79375,1812.5,69.625,4.358666667,67.0625,0.25625,837.9200509,421467690.9,27.1,27.94375,0.5495,9.98125
Indonesia,Developing,67.55625,166.5625,151.1875,0.068666667,83.76831559,73.5625,16244.9375,19.95625,186.625,62.1875,2.663333333,72.375,0.2,1669.116783,116555259.4,3.41875,3.94375,0.6414375,11.6125
Iran (Islamic Republic of),Developing,73.85625,107,25.1875,0.016,0,97.75,2828.25,48.63125,29.6875,98.25,6.29,98.375,0.1,na,na,7.76875,7.95625,0.715,12.65625
Iraq,Developing,70.35625,136.75,31.1875,0.134666667,120.6636895,64.875,3454.375,48.59375,38,55.625,4.435833333,65.75,0.1,3542.557537,18572840.81,5.4,5.1625,0.6335,9.90625
Ireland,Developed,80.15,72.4375,0,12.654,4867.312605,86.83333333,174.5,53.6875,0,86.125,7.728666667,86.125,0.1,33835.27201,3599794.563,0.3,0.21875,0.8915,17.65625
Israel,Developing,81.3,59.5,0.9375,2.497333333,1467.535827,97.4375,138.9375,54.9875,1,94.25,7.478666667,89,0.1,18860.47602,27862.875,1.14375,1.1,0.8731875,15.7125
Italy,Developed,82.1875,54.1875,2,8.266666667,2937.137654,95.5,1961.375,56.15,2.3125,96.125,8.777333333,94.75,0.1,21234.78237,27643788.94,0.5125,0.525,0.8580625,15.93125
Jamaica,Developing,74.29375,141.25,1,3.624,134.2494502,83.15384615,0.1875,45.425,1,89.625,5.144,89.3125,1.2375,2509.54647,1500309.125,1.88125,1.7375,0.709625,12.275
Japan,Developed,82.5375,57.125,2.875,7.040666667,3923.050329,na,6875.8125,25.60625,4,96,6.472666667,96.25,0.1,24892.54478,97384.0625,1.8125,1.54375,0.8765625,14.975
Jordan,Developing,72.9875,114.3125,4,0.517333333,273.5995342,97,26.5,53,4,97.125,8.781333333,97,0.1,1822.629926,4895075.688,3.8875,3.86875,0.729,13.2375
Kazakhstan,Developing,66.7625,232.0625,7.125,6.641333333,203.0309086,97.3125,1246.9375,45.15625,8.0625,97.5,4.019333333,96.4375,0.1,4040.586664,8340547.438,2.4375,2.54375,0.7450625,14.025
Kenya,Developing,57.48125,348.5625,65.875,1.602,61.65546434,74.57142857,2643.875,15.5625,98.625,70.1875,4.668666667,70.5,8.7625,716.7700679,16826787.63,8.4,8.2875,0.497125,9.96875
Kiribati,Developing,65.15,129.4375,0,0.440666667,77.12610334,75.1875,0,69.43125,0,75.25,5.728,74.9375,0.1,1175.292416,35919.9375,0.15625,0.1375,0.36375,11.69375
Kuwait,Developing,73.84375,83.25,0.5,0.021333333,1719.840981,98.1875,15.375,59.60625,1,98.1875,2.809333333,98.5,0.1,31914.37834,na,3.28125,3.15625,0.7895,13.725
Kyrgyzstan,Developing,69.08125,173.6875,3.75,2.267333333,0,85.5625,1156.625,35.1125,4.125,95.875,6.118666667,96.5625,0.1125,na,na,3.35625,3.4125,0.6220625,12.3375
Lao People's Democratic Republic,Developing,62.38125,197.1875,10.625,3.505333333,0,60.30769231,552.75,14.3625,14.75,58.8125,3.444,61.5,0.2,na,na,6.275,6.38125,0.515625,9.23125
Latvia,Developed,73.73125,161.8125,0,8.864,530.6051918,88.9375,3.3125,51.30625,0,95.0625,6.331333333,95,0.1,7951.824897,1174562.688,2.40625,2.43125,0.7925,15.56875
Lebanon,Developing,74.2,65.3125,1,1.785333333,333.0479451,70.5,295.1875,55.3375,1,71.25,6.670666667,70.5,0.1,4696.192379,2489104.5,4.76875,4.71875,0.4696875,13.74375
